,id,country,coup_num,p_month,p_month_smooth,p_year,p_year_smooth
99,99,Sierra Leone,10,0.016666666666666666,0.016,0.2,0.189
100,100,Somalia,3,0.005,0.005,0.06,0.063
101,101,South Sudan,1,0.0016666666666666668,0.002,0.02,0.027
102,102,Spain,4,0.006666666666666667,0.007,0.08,0.081
103,103,Sudan,19,0.03166666666666667,0.029,0.38,0.351
104,104,Surinam,10,0.016666666666666666,0.016,0.2,0.189
105,105,Swaziland,3,0.005,0.005,0.06,0.063
106,106,Syria,2,0.0033333333333333335,0.004,0.04,0.045
107,107,Tajikistan,5,0.008333333333333333,0.008,0.1,0.099
108,108,Tanzania,1,0.0016666666666666668,0.002,0.02,0.027
109,109,Thailand,11,0.018333333333333333,0.017,0.22,0.207
110,110,Togo,7,0.011666666666666667,0.011,0.14,0.135
111,111,Trinidad and Tobago,1,0.0016666666666666668,0.002,0.02,0.027
112,112,Tunisia,3,0.005,0.005,0.06,0.063
113,113,Turkey,5,0.008333333333333333,0.008,0.1,0.099
114,114,Turkmenistan,1,0.0016666666666666668,0.002,0.02,0.027
115,115,USSR,1,0.0016666666666666668,0.002,0.02,0.027
116,116,Uganda,11,0.018333333333333333,0.017,0.22,0.207
117,117,Ukraine,1,0.0016666666666666668,0.002,0.02,0.027
118,118,United Arab Emirates,1,0.0016666666666666668,0.002,0.02,0.027
119,119,Uruguay,3,0.005,0.005,0.06,0.063
120,120,Venezuela,7,0.011666666666666667,0.011,0.14,0.135
121,121,Yemen,2,0.0033333333333333335,0.004,0.04,0.045
122,122,Yemen Arab Republic,2,0.0033333333333333335,0.004,0.04,0.045
123,123,Yemen PDR,3,0.005,0.005,0.06,0.063
124,124,Zambia,5,0.008333333333333333,0.008,0.1,0.099
125,125,Zimbabwe,5,0.008333333333333333,0.008,0.1,0.099
