,country,coup_num,p_month,p_year,p_month_smooth,p_year_smooth
195,Hong Kong S.A.R.,4,1.0,7.0,2,7
196,Senegal,4,1.0,7.0,2,7
197,Aland,4,1.0,7.0,2,7
198,United Kingdom,4,1.0,7.0,2,7
199,Cook Islands,4,1.0,7.0,2,7
200,Vietnam,4,1.0,7.0,2,7
201,Bhutan,4,1.0,7.0,2,7
202,Lebanon,4,1.0,7.0,2,7
203,Israel,4,1.0,7.0,2,7
204,Dominican Republic,4,1.0,7.0,2,7
205,Cape Verde,4,1.0,7.0,2,7
206,France,4,1.0,7.0,2,7
207,Canada,4,1.0,7.0,2,7
208,Somaliland,4,1.0,7.0,2,7
209,Montserrat,4,1.0,7.0,2,7
210,Japan,4,1.0,7.0,2,7
211,Czech Republic,4,1.0,7.0,2,7
212,Guernsey,4,1.0,7.0,2,7
213,Slovenia,4,1.0,7.0,2,7
214,Cayman Islands,4,1.0,7.0,2,7
215,Malta,4,1.0,7.0,2,7
216,Tonga,4,1.0,7.0,2,7
217,Austria,4,1.0,7.0,2,7
218,Iceland,4,1.0,7.0,2,7
219,Jersey,4,1.0,7.0,2,7
220,San Marino,4,1.0,7.0,2,7
221,Solomon Islands,4,1.0,7.0,2,7
222,Uzbekistan,4,1.0,7.0,2,7
223,Vatican,4,1.0,7.0,2,7
224,Puerto Rico,4,1.0,7.0,2,7
225,Brazil,4,1.0,7.0,2,7
226,Guam,4,1.0,7.0,2,7
227,Netherlands,4,1.0,7.0,2,7
228,Bolivia,4,1.0,7.0,2,7
229,Iran,4,1.0,7.0,2,7
230,Nauru,4,1.0,7.0,2,7
231,Curaçao,4,1.0,7.0,2,7
232,Monaco,4,1.0,7.0,2,7
233,Cyprus,4,1.0,7.0,2,7
234,French Polynesia,4,1.0,7.0,2,7
235,Bosnia and Herzegovina,4,1.0,7.0,2,7
236,Saudi Arabia,4,1.0,7.0,2,7
237,Moldova,4,1.0,7.0,2,7
238,Benin,4,1.0,7.0,2,7
